inst,ub,lb
VFR10_5_1_Gap.txt,695,523
VFR10_5_2_Gap.txt,698,556
VFR10_5_3_Gap.txt,728,588
VFR10_5_4_Gap.txt,697,565
VFR10_5_5_Gap.txt,713,578
VFR10_5_6_Gap.txt,748,617
VFR10_5_7_Gap.txt,728,602
VFR10_5_8_Gap.txt,683,568
VFR10_5_9_Gap.txt,761,633
VFR10_5_10_Gap.txt,664,554
VFR20_5_1_Gap.txt,1192,1095
VFR20_5_2_Gap.txt,1275,1173
VFR20_5_3_Gap.txt,1323,1224
VFR20_5_4_Gap.txt,1127,1047
VFR20_5_5_Gap.txt,1339,1244
VFR20_5_6_Gap.txt,1066,994
VFR20_5_7_Gap.txt,1154,1078
VFR20_5_8_Gap.txt,1102,1030
VFR20_5_9_Gap.txt,1317,1231
VFR20_5_10_Gap.txt,1243,1164
VFR30_5_1_Gap.txt,1805,1727
VFR30_5_2_Gap.txt,1575,1510
VFR30_5_3_Gap.txt,1673,1608
VFR30_5_4_Gap.txt,1781,1716
VFR30_5_5_Gap.txt,1707,1645
VFR30_5_6_Gap.txt,1875,1807
VFR30_5_7_Gap.txt,1749,1686
VFR30_5_8_Gap.txt,1706,1646
VFR30_5_9_Gap.txt,1735,1674
VFR30_5_10_Gap.txt,1637,1582
VFR40_5_1_Gap.txt,2396,2292
VFR40_5_2_Gap.txt,2442,2351
VFR40_5_3_Gap.txt,2174,2106
VFR40_5_4_Gap.txt,2149,2082
VFR40_5_5_Gap.txt,2247,2179
VFR40_5_6_Gap.txt,2154,2091
VFR40_5_7_Gap.txt,2207,2143
VFR40_5_8_Gap.txt,2414,2350
VFR40_5_9_Gap.txt,2305,2247
VFR40_5_10_Gap.txt,2348,2289
VFR50_5_1_Gap.txt,3055,2970
VFR50_5_2_Gap.txt,2853,2784
VFR50_5_3_Gap.txt,2746,2682
VFR50_5_4_Gap.txt,2836,2773
VFR50_5_5_Gap.txt,2866,2806
VFR50_5_6_Gap.txt,2841,2782
VFR50_5_7_Gap.txt,2600,2548
VFR50_5_8_Gap.txt,2684,2631
VFR50_5_9_Gap.txt,2621,2570
VFR50_5_10_Gap.txt,2834,2781
VFR60_5_1_Gap.txt,3350,3276
VFR60_5_2_Gap.txt,3054,2990
VFR60_5_3_Gap.txt,3214,3147
VFR60_5_4_Gap.txt,3266,3202
VFR60_5_5_Gap.txt,3197,3139
VFR60_5_6_Gap.txt,3107,3058
VFR60_5_7_Gap.txt,3315,3263
VFR60_5_8_Gap.txt,3438,3386
VFR60_5_9_Gap.txt,3121,3074
VFR60_5_10_Gap.txt,3663,3608
VFR10_10_1_Gap.txt,1097,797
VFR10_10_2_Gap.txt,1146,845
VFR10_10_3_Gap.txt,1124,831
VFR10_10_4_Gap.txt,1038,769
VFR10_10_5_Gap.txt,1093,817
VFR10_10_6_Gap.txt,1085,812
VFR10_10_7_Gap.txt,1115,839
VFR10_10_8_Gap.txt,1113,840
VFR10_10_9_Gap.txt,1045,789
VFR10_10_10_Gap.txt,1099,832
VFR20_10_1_Gap.txt,1532,1290
VFR20_10_2_Gap.txt,1525,1292
VFR20_10_3_Gap.txt,1592,1352
VFR20_10_4_Gap.txt,1442,1226
VFR20_10_5_Gap.txt,1604,1371
VFR20_10_6_Gap.txt,1576,1348
VFR20_10_7_Gap.txt,1591,1363
VFR20_10_8_Gap.txt,1574,1353
VFR20_10_9_Gap.txt,1530,1312
VFR20_10_10_Gap.txt,1489,1279
VFR30_10_1_Gap.txt,1943,1721
VFR30_10_2_Gap.txt,2098,1860
VFR30_10_3_Gap.txt,2077,1857
VFR30_10_4_Gap.txt,1945,1747
VFR30_10_5_Gap.txt,2023,1818
VFR30_10_6_Gap.txt,2043,1830
VFR30_10_7_Gap.txt,1967,1767
VFR30_10_8_Gap.txt,1896,1701
VFR30_10_9_Gap.txt,1908,1712
VFR30_10_10_Gap.txt,1912,1722
VFR40_10_1_Gap.txt,2477,2258
VFR40_10_2_Gap.txt,2431,2237
VFR40_10_3_Gap.txt,2400,2244
VFR40_10_4_Gap.txt,2468,2313
VFR40_10_5_Gap.txt,2420,2276
VFR40_10_6_Gap.txt,2541,2387
VFR40_10_7_Gap.txt,2498,2344
VFR40_10_8_Gap.txt,2488,2338
VFR40_10_9_Gap.txt,2411,2275
VFR40_10_10_Gap.txt,2478,2337
VFR50_10_1_Gap.txt,2912,2746
VFR50_10_2_Gap.txt,3027,2841
VFR50_10_3_Gap.txt,3002,2836
VFR50_10_4_Gap.txt,2997,2838
VFR50_10_5_Gap.txt,3250,3070
VFR50_10_6_Gap.txt,3149,2973
VFR50_10_7_Gap.txt,2835,2722
VFR50_10_8_Gap.txt,3055,2932
VFR50_10_9_Gap.txt,2999,2858
VFR50_10_10_Gap.txt,3050,2906
VFR60_10_1_Gap.txt,3415,3256
VFR60_10_2_Gap.txt,3640,3489
VFR60_10_3_Gap.txt,3415,3261
VFR60_10_4_Gap.txt,3448,3305
VFR60_10_5_Gap.txt,3496,3359
